          y1       y2
1   -5.01200 -0.73930
2   -5.53500 -0.87590
3   -1.01600 -0.31370
4   -9.48800  0.44910
5    3.43400  1.36900
6    0.45520  1.95800
7   -1.41600  0.67880
8   -5.54400 -1.80900
9   -7.61500 -2.71700
10  -7.07800 -2.64000
11   2.40200  5.19300
12  -0.56370 -3.15900
13   7.10300  2.19900
14   5.27500  0.48240
15  -5.66100  1.04200
16   5.32500  3.27400
17   0.87940 -2.70600
18   4.34500  1.37600
19  -1.23400  1.46400
20   0.02535 -0.35010
21  -0.57550  0.06321
22   8.10300  2.42600
23   3.72000 -0.52980
24   0.98850 -2.85000
25   1.76800  0.06604
26   4.39900  1.34400
27  -7.95400 -5.68100
28   2.06500  5.04200
29  -4.55400 -3.48400
30  -3.26000 -3.66000
31  -5.09300 -1.78200
32  -4.16300 -0.37700
33   7.24600  0.55240
34   0.96420  1.93100
35  -0.39520 -1.24900
36   5.57500 -1.42500
37   3.33800  0.70450
38  -0.92950  2.21700
39   0.40000  0.01922
40  -2.27400 -0.60210
41  -6.45800 -1.08400
42  -5.62300 -0.92240
43   4.60000 -2.67500
44  -9.04700 -1.51000
45   6.94400  5.48400
46  -2.04900 -0.52340
47  -3.54400  0.46550
48  -3.96500 -4.04300
49  -2.07400 -2.49900
50  -2.08300 -0.92960
51  -6.17500 -2.21200
52   3.17600  1.21100
53   2.39600  2.05700
54  -5.98200 -1.00300
55  -5.35400 -2.10200
56  -4.73200 -1.77300
57  11.64000  9.16100
58  -0.95740  0.74640
59  -2.66700  2.63600
60  -1.81700  0.89210
61  -2.95600 -1.73000
62   1.06300 -0.64590
63   1.93900  0.91150
64   0.02735 -2.77700
65  -0.02357 -1.92900
66   0.30000  0.15500
67   1.09300 -2.27500
68  -0.42690 -0.20230
69  -4.79100  0.37470
70  -4.95600 -2.93700
71   5.92600  1.35500
72   5.22800 -1.80600
73   3.89500 -0.02269
74  -0.59150  0.09676
75  -1.34900  0.47210
76  -5.47100 -1.18800
77  -6.91000 -2.81200
78  -1.66000 -1.56000
79   4.71500  2.41200
80   2.15100  1.49600
81   6.13800 -7.12000
82   6.00200 -6.74200
83   6.22700 -6.78800
84   5.89500 -6.61200
85   6.23700 -6.75400
86   6.17800 -6.02100
87   6.76100 -6.82100
88   6.74800 -6.50100
89   6.80000 -6.30800
90   6.29500 -7.01500
91   7.15700 -6.80900
92   6.25900 -7.49700
93   6.21500 -6.48400
94   6.54700 -7.37100
95   5.80600 -6.88900
96   6.24400 -5.95900
97   6.19500 -6.24600
98   6.96800 -6.61200
99   6.05500 -6.95400
100  6.56600 -5.64500
101  6.32400 -6.70400
102  6.32400 -6.60600
103  6.14400 -6.53500
104  5.74600 -7.25900
105  5.88500 -6.87500
106  6.75900 -5.89400
107  5.84500 -6.79900
108  6.70400 -6.18900
109  5.90200 -5.77400
110  6.61800 -6.56600
111  5.30100 -6.89700
112  6.16900 -6.78400
113  5.86100 -7.15200
114  5.46300 -6.30500
115  6.78700 -6.69800
116  6.67500 -6.66000
117  7.13200 -6.11300
118  5.28100 -5.72500
119  5.95600 -7.25500
120  6.68600 -6.59800
121  6.60400 -6.48200
122  6.16300 -6.33500
123  5.81400 -7.14200
124  6.93100 -6.74900
125  6.49000 -6.67400
126  6.14300 -6.45500
127  5.71700 -6.80300
128  6.24300 -7.31800
129  6.87000 -5.96500
130  6.05000 -6.71900
131  6.60200 -5.78200
132  6.18600 -6.20800
133  5.62600 -6.90500
134  5.68800 -6.90300
135  6.47900 -5.91300
136  6.37600 -6.52300
137  6.21000 -6.97000
138  5.69800 -6.57000
139  6.31800 -6.41700
140  6.70300 -6.99300
141  3.04200 -4.59400
142  3.66300 -4.62300
143  2.12400 -4.52400
144  3.80900 -6.48100
145  4.89100 -5.09900
146  4.08400 -5.49200
147  3.56200 -5.19400
148  4.23400 -3.75700
149  4.06500 -4.47200
150  2.54100 -4.43000
151  3.61400 -3.44800
152  3.71600 -5.07500
153  3.96900 -5.73200
154  4.30300 -5.31200
155  2.46700 -4.15500
156  2.03600 -3.38100
157  3.65400 -5.48600
158  3.41000 -2.91300
159  3.73800 -5.63000
160  4.02900 -3.83600
161  4.54100 -6.64100
162  3.99100 -5.01600
163  3.62800 -3.18500
164  3.25000 -4.87300
165  2.74700 -2.80000
166  4.01200 -4.49900
167  4.98600 -5.49900
168  5.17800 -7.34200
169  4.18400 -5.20300
170  3.30600 -5.65700
