      y1   y2   y3
1   13.2 29.4 21.3
2   12.1 27.1 20.0
3   15.5 32.4 21.7
4   10.6 28.3 21.0
5   12.4 28.9 21.2
6   14.6 34.9 20.7
7    9.6 30.5 21.6
8    8.7 28.3 22.2
9   14.8 32.9 20.3
10  17.3 36.9 22.3
11   7.7 25.8 21.1
12  12.1 27.6 23.5
13  13.5 32.5 22.4
14   5.5 32.4 25.5
15  10.9 32.4 23.0
16  15.4 34.6 20.2
17  11.6 29.9 22.0
18  13.0 27.6 22.4
19  10.0 32.5 20.6
20  14.6 40.8 23.4
21   3.8 28.7 18.2
22  15.0 30.9 22.0
23  10.7 30.1 21.2
24  12.7 31.6 20.4
25  11.4 26.1 19.8
26   9.6 28.0 19.5
27  14.4 31.6 22.1
28  10.4 29.5 21.6
29  10.3 34.1 22.9
30  11.5 36.2 23.3
31  12.6 28.7 21.2
32  11.8 25.7 20.1
33  12.7 34.3 24.0
34   9.2 30.8 24.0
35  18.3 28.3 19.8
36  11.2 30.4 22.1
37  21.0 36.4 20.4
38   9.2 25.4 21.9
39  17.0 45.1 23.2
40  10.2 30.2 22.4
41  15.5 35.7 22.6
42  10.9 32.2 22.8
43  16.7 33.2 23.2
44   5.5 27.5 23.1
45  12.6 31.0 21.4
46  10.0 27.2 20.0
47  11.6 30.0 21.5
48  10.0 28.8 22.3
49  10.6 26.4 20.0
50  -0.3 28.0 16.7
51  13.8 31.4 22.8
52  24.6 49.1 22.0
53  12.2 34.6 20.9
54  -0.4 22.1 15.9
55  15.8 34.0 23.2
56  14.8 32.1 20.3
57   7.7 10.8  9.5
58  13.4 18.6 10.7
59  15.5 13.0 10.5
60  11.4 13.8  8.5
61  10.3 19.2 11.6
62   6.7 17.2 11.0
63   9.6 17.2 10.3
64   8.7 13.6  8.6
65   9.2 20.0 12.2
66   8.1 16.5 12.1
67   5.8 22.7 12.5
68  15.2 23.5 13.4
69   7.9 18.8 12.2
70  11.6 23.2 12.7
71   9.7 22.8 12.7
72   6.5 18.2 13.5
73  16.2 20.5 12.4
74  10.3 19.8 10.8
75   9.8 16.5 10.3
76   9.0 19.0 11.2
77  17.0 34.3 12.7
78   7.8 13.2 10.0
79  11.4 19.6 12.0
80  -0.6 10.8  9.1
81   9.0 19.7 11.9
82   7.1 15.0  8.8
83  10.5 14.1  9.3
84   9.2 15.7  9.3
85   7.6 20.2 11.7
86   8.4 17.1 12.6
87   9.9 16.4  9.1
88  13.2 19.9 12.2
89  10.8 31.1 15.5
90  12.9 26.6 12.2
91  11.4 18.0 11.4
92   8.3 17.4 12.2
93  11.9 20.8 12.1
94   7.4 18.0 10.9
95   8.9 12.4  8.7
96   0.7 18.9 12.9
97   3.9 19.4 10.8
98  11.6 17.1 10.3
99  10.5 17.9 12.3
100  8.4 16.3 13.3
101  9.3 21.2 12.3
102 10.3 18.7 10.3
103 10.2 21.2 12.1
