          y1     y2     y3    y4    y5    y6
1    9962.65 105.60 507.78 13.50 10.75  9.45
2    8468.69  19.93 421.21 18.27 13.24  1.84
3    9770.61  47.25 540.63  9.57 11.89  3.78
4    9706.74  30.60 504.93 16.10  9.13  3.38
5    8275.02  59.37 733.30 28.50 12.82  3.11
6    9121.25  35.83 480.45 11.63 12.80  4.59
7    8288.02  24.31 479.30 23.78 14.80  4.14
8    7174.69  18.67 451.22 14.94 14.94  4.06
9   10525.64  19.90 317.61 19.07  7.46  3.93
10   6403.96  23.57 589.65 10.17 16.64 10.43
11   7421.80  35.39 997.12 17.16 16.80  4.65
12   9572.63  44.94 495.60 25.90 15.83 13.19
13   7172.86  38.82 363.79 14.89 13.09  3.23
14   9277.42  31.08 484.54 17.91 12.55  4.36
15   8761.72  38.33 434.94 10.50 10.87  3.37
16   9154.08   3.38 166.69 21.96  6.76  2.36
17  20890.66 102.47 324.47 12.85 12.77 17.24
18   9406.42  31.92 299.26  9.75  6.36  4.48
19  10046.40  57.16 551.31 10.25  8.45  4.47
20   9626.65  30.45 412.06 17.03  9.62  4.23
21   9141.12  28.89 250.82 20.26 10.43  4.15
22   9433.11  30.04 319.42 13.03 13.82  3.84
23   8816.74  28.88 520.42 12.83 10.59  1.91
24   9846.11  22.81 231.13 15.21  8.11  1.81
25  12051.57  16.55 148.95 29.23  8.38  9.16
26  11100.26  14.02 243.59 11.93  6.49  4.74
27   9786.08  41.11 440.26 16.40 10.73 37.48
28   8962.15  31.33 419.45 17.24 11.95  4.40
29   7350.34   6.16 229.80 30.80  8.05  1.41
30   8558.84  37.68 489.69 10.08 10.84  4.22
31   8159.78  42.56 536.16 19.63 14.11  7.46
32   9922.04  35.74 353.19 10.55 13.01  3.79
33   7507.03  23.43 342.39 13.97  9.04  2.37
34  10359.46  19.60 283.79 16.72 10.18  6.55
35   8941.28  20.89 159.18 20.89 10.08  5.03
36  13643.31  43.41 165.54 45.85 11.36 28.33
37   8759.12  13.44 387.85 24.75  7.42  3.69
38  10012.27  34.83 401.52 20.97 14.98  6.87
39  11417.11  31.00 344.01 23.00 12.75  8.81
40  10264.58  33.11 308.11 19.30 17.11  5.56
41  10179.11  32.25 312.82 17.70 12.01  7.81
42  12600.70  90.79 510.68 19.20 13.34 16.44
43   7636.55  18.41 413.69 15.54 12.95  5.86
44   9408.58  67.57 578.04 24.98  9.94  8.88
45  10598.16  39.25 432.91 27.20 15.42  5.52
46   8788.12  89.56 618.20 13.47 21.48  5.89
47   9697.86  16.70 353.76 19.00 11.51  9.33
48   8740.72  28.00 313.56 10.53 18.14  7.87
49   8317.71  25.95 323.59 15.11 14.45  7.80
50   7661.13  22.38 335.67 13.75 15.91  4.77
51   7164.87  24.08 495.05 12.04 10.53  3.67
52   8838.89  38.07 454.14 30.08 12.51 10.76
53   8680.71  24.76 434.51  7.76 13.30  6.88
54  11232.08  51.54 508.41 11.50 11.81 16.34
55   6727.87  22.75 399.06  9.88 15.87  4.78
56   8471.09  28.89 448.82 23.21 15.73  4.76
57  10523.71  27.19 194.65 14.21  9.58  2.61
58  11336.44  33.45 332.18 24.80 13.38  4.99
59   7618.48  13.45 327.47 23.37 10.20  3.40
60  11022.14  59.04 357.82 23.87 12.15  4.33
61   7977.96  32.40 318.29 22.68 11.99  8.76
62   6801.26  30.48 241.58 13.45  9.41  3.81
63   5748.72  25.19 381.90  8.85  9.19  2.59
64   5411.53  52.90 402.67 10.58  5.95  1.42
65  15558.38 102.04 472.97 10.26 11.72 14.31
66   5085.80  34.67 463.92  4.28  7.99  2.32
67   4503.98  29.74 344.31  5.26  9.71  0.65
68   4056.48 122.19 350.35  5.84  5.49  1.91
69   4142.85  17.42 353.11  9.90  4.10  2.68
70   6049.62 251.53 161.30  2.68  8.29  5.85
71   4825.67  16.81 221.94 10.68  5.91  0.37
72   4960.91  54.37 317.17  8.33  6.77  2.38
73   6139.46  23.72 221.74 10.54 13.18  2.50
74   7431.26  27.05 352.27 13.35 18.49  1.72
75   7423.60  31.85 357.80 10.50 22.36  5.54
76   5841.90  13.57 226.36 10.75 11.52  1.75
77   4550.97   8.48 167.50  8.48  7.63  0.94
78   4119.42  15.33 172.96 14.23  7.66  0.77
79   5311.58  56.76 181.54  6.93  5.05  1.27
80   6527.75  45.30 272.95  6.52  7.15  3.38
81   4693.84  26.41 257.59 12.95  5.28  2.25
82   4835.48  50.60 218.95  7.30  4.62  1.53
83   4200.45  36.78 281.60 12.01  5.76  2.15
84   4610.62  10.03 130.86 16.80  3.76  1.27
85   5893.22  12.14 169.02 14.08  5.34  0.91
86   4122.81  24.77 273.15  5.38  5.79  2.04
87   4443.40  14.41 197.78  7.07  7.86  1.21
88   4093.96  47.36 129.28  5.26  7.54  1.72
89   4123.18  17.90 179.00  2.31  1.73  0.94
90   3418.24  20.51 174.37  3.42  3.42  0.76
91   4727.70  25.41 454.35  5.08  6.70  3.22
92   5506.50 232.05 323.24 22.69  7.70  5.22
93   4279.83  42.58 289.28  9.35  8.75  3.08
94   4593.08  16.07 175.31 14.57  2.36  1.58
95   5202.02  22.30 174.43 18.41  5.66  0.91
96   3805.09  13.87 170.89 18.86  5.55  0.66
97   4465.26 118.97 248.28  7.71  9.07  5.97
98   4761.98  31.37 342.73 10.24  9.91  1.60
99   4408.57  40.32 383.02 14.93  7.72  2.13
100  5762.56  25.70 440.60  7.41  8.49  2.36
101  5509.60  34.70 223.51  9.70  4.85  1.45
102  6669.89  32.84 283.81 15.70  8.77  5.13
103  5310.75  19.15 257.91 17.87  4.47  1.17
