    y1 y2 y3 y4 y5
1   40 58 31 44 64
2   39 59 33 40 60
3   40 58 35 46 59
4   39 59 31 47 58
5   40 60 36 41 56
6   45 60 45 45 58
7   42 64 39 38 63
8   44 59 41 40 60
9   42 66 48 20 61
10  40 60 35 40 58
11  40 61 40 41 58
12  40 58 38 45 60
13  38 59 39 46 58
14  42 59 32 36 61
15  40 61 45 45 59
16  40 59 45 52 59
17  42 58 38 51 59
18  40 59 37 44 60
19  39 60 35 49 59
20  39 60 37 46 56
21  40 58 35 39 58
22  39 59 34 41 60
23  39 60 37 39 59
24  40 59 42 43 57
25  40 59 37 46 60
26  43 60 35 38 62
27  40 59 29 41 60
28  40 59 37 41 59
29  40 60 37 46 60
30  40 58 42 45 61
31  42 63 48 47 64
32  41 59 37 49 60
33  39 58 31 47 60
34  42 60 43 49 61
35  42 59 37 53 62
36  40 58 35 40 59
37  40 59 35 48 58
38  39 60 35 46 59
39  38 59 30 47 57
40  40 60 38 48 62
41  44 60 36 44 60
42  40 58 34 41 58
43  38 60 31 49 60
44  38 58 29 46 60
45  39 59 35 43 56
46  40 60 37 45 59
47  40 60 37 44 61
48  42 62 37 35 60
49  40 59 35 44 58
50  42 58 35 43 61
51  44 58 32 25 57
52  43 58 25 19 60
53  44 57 30 24 59
54  42 59 36 20 59
55  42 60 38 29 59
56  43 56 38 32 58
57  43 57 26 18 59
58  45 60 27 27 59
59  45 59 33 18 60
60  43 58 29 26 59
61  43 59 39 22 58
62  43 59 35 29 59
63  44 57 37 19 58
64  43 58 29 20 58
65  43 58 27  8 58
66  44 60 39 15 60
67  43 58 35 13 58
68  44 58 38 19 58
69  43 58 36 19 58
70  43 58 29 19 60
71  43 58 29 21 58
72  42 59 43 26 58
73  43 58 26 20 58
74  44 59 22 17 59
75  43 59 36 25 59
76  44 57 33 11 59
77  44 60 25 10 59
78  44 58 22 16 59
79  44 60 36 18 57
80  46 61 39 14 59
81  42 58 36 27 57
82  43 60 20 19 60
83  42 59 27 23 59
84  43 58 28 12 58
85  42 57 41 24 58
86  44 60 28 20 60
87  43 58 45 25 59
88  43 59 35 21 59
89  43 60 29  2 60
90  44 59 22 11 59
91  44 58 46 25 58
92  43 60 28  9 60
93  43 59 38 29 59
94  43 58 47 24 57
95  42 58 24 19 59
96  43 60 35 22 58
97  45 60 28 18 60
98  43 57 38 23 60
99  44 60 31 22 58
100 43 58 22 20 57
