   x1 x2 x3 x4 x5     y1     y2     y3     y4
1  -1 -1 -1 -1 -1    9.8    7.5   12.5   41.5
2   1 -1 -1 -1  1   30.2   35.0   22.5   45.0
3  -1  1 -1 -1  1   17.5   17.5   12.5   20.0
4   1  1 -1 -1 -1   12.5   10.0    7.5   12.5
5  -1 -1  1 -1  1  512.5 1950.0 2070.0 3030.0
6   1 -1  1 -1 -1  655.0  670.0  450.0 1700.0
7  -1  1  1 -1 -1  342.5  262.5  410.0  322.5
8   1  1  1 -1  1 1020.0 1050.0  970.0 1230.0
9  -1 -1 -1  1  1   82.5  145.0  162.5  145.0
10  1 -1 -1  1 -1   19.0   22.0   17.5   25.0
11 -1  1 -1  1 -1    9.3    5.8    5.0   12.5
12  1  1 -1  1  1   27.5   22.5   15.0   20.0
13 -1 -1  1  1 -1  270.0  237.5  337.5  717.5
14  1 -1  1  1  1  282.5  710.0  650.0  547.5
15 -1  1  1  1  1  172.5  237.5  210.0  190.0
16  1  1  1  1 -1  172.5  155.0  257.5  435.0
17 -1  0  0  0  0   45.8   52.5   62.5   57.5
18  1  0  0  0  0   77.5   62.5   70.0  113.8
19  0 -1  0  0  0  195.8  262.5  252.5  276.3
20  0  1  0  0  0  330.0   22.5   15.0   27.5
21  0  0 -1  0  0  200.0   15.0   17.5   17.5
22  0  0  1  0  0  337.5  117.5  105.0  177.5
23  0  0  0 -1  0   70.0  147.5   60.0  147.5
24  0  0  0  1  0   83.8   62.5  132.5  105.0
25  0  0  0  0 -2   40.0   40.0   22.5   60.0
26  0  0  0  0  2  287.5  450.0  482.5  495.0
27  0  0  0  0  0   67.5   77.5   45.0  107.5
