       y1    y2    y3   y4    y5    y6
1   113.2 111.7 119.6 53.9 127.4 143.6
2   117.6 117.3 121.2 47.7 124.7 143.9
3   112.3 124.7 131.6 56.7 123.4 149.3
4   116.2 110.5 114.2 57.9 121.6 140.9
5   112.9 111.3 114.3 51.5 119.9 133.5
6   104.2 114.3 116.5 49.9 122.9 136.7
7   110.7 116.9 128.5 56.8 118.1 134.7
8   105.0 119.2 121.1 52.2 117.3 131.4
9   115.9 118.5 120.4 60.2 123.0 146.8
10   96.8 108.4 109.5 51.9 120.1 132.2
11  110.7 117.5 115.4 55.2 125.0 140.6
12  108.4 113.7 122.2 56.2 124.5 146.3
13  104.1 116.0 124.3 49.8 121.8 138.1
14  107.9 115.2 129.4 62.2 121.6 137.9
15  106.4 109.0 114.9 56.8 120.1 129.5
16  112.7 118.0 117.4 53.0 128.3 141.6
17  109.9 105.2 122.2 56.6 122.2 137.8
18  116.6 119.5 130.6 53.0 124.0 135.3
19  109.9 113.5 125.7 62.8 122.7 139.5
20  107.1 110.7 121.7 52.1 118.6 141.6
21  113.3 117.8 120.7 53.5 121.6 138.6
22  108.1 116.3 123.9 55.5 125.4 146.1
23  111.5 111.1 127.1 57.9 115.8 135.1
24  115.7 117.3 123.0 50.8 122.2 143.1
25  112.2 120.6 119.6 61.3 126.7 141.1
26  118.7 122.9 126.7 59.8 125.7 138.3
27  118.9 118.4 127.7 64.6 125.6 144.3
28  114.2 109.4 119.3 58.7 121.1 136.2
29  113.8 113.6 135.8 54.3 119.5 130.9
30  122.4 117.2 122.2 56.4 123.3 142.9
31  110.4 110.8 122.1 51.2 115.6 132.7
32  114.9 108.6 122.9 56.3 122.7 140.3
33  108.4 118.7 117.8 50.0 113.7 131.0
34  105.3 107.2 116.0 52.5 117.4 133.2
35  110.5 124.9 122.4 62.2 123.1 137.0
36  110.3 113.2 123.9 62.9 122.3 139.8
37  115.1 116.4 118.1 51.9 121.5 133.8
38  119.6 120.2 120.0 59.7 123.9 143.7
39  119.7 125.2 124.5 57.8 125.3 142.7
40  110.2 116.8 120.6 54.3 123.6 140.1
41  118.9 126.6 128.2 63.8 125.7 151.1
42  112.3 114.7 127.7 59.4 125.2 137.5
43  113.7 111.4 122.6 63.3 121.6 146.8
44  108.1 116.4 115.5 55.2 123.5 134.1
45  105.6 111.4 121.8 61.4 117.7 132.6
46  111.1 111.9 125.2 56.1 119.9 139.5
47  111.3 117.6 129.3 63.7 124.3 142.8
48  119.4 114.6 125.0 62.5 129.5 147.7
49  113.4 120.5 121.1 61.5 118.1 137.2
50  114.7 113.8 137.7 59.8 124.5 143.3
51  115.1 113.9 118.6 59.5 119.4 141.6
52  114.6 112.4 122.2 54.5 121.2 126.3
53  115.2 117.2 122.2 60.1 123.9 135.7
54  115.4 119.5 132.8 60.3 127.8 140.3
55  119.3 120.6 116.6 55.8 121.5 143.0
56  112.8 119.3 129.6 61.0 121.1 139.4
57  116.6 109.6 125.4 54.6 120.2 122.6
58  106.5 116.0 123.2 52.8 121.7 134.9
59  112.1 117.4 128.2 59.9 120.3 131.5
60  112.8 113.0 125.4 64.8 119.4 136.6
61  114.6 119.0 116.8 57.4 123.8 140.0
62  110.9 116.5 125.8 53.5 124.8 142.9
63  109.1 117.0 123.7 60.0 120.1 137.7
64  111.7 117.3 121.0 51.5 119.7 135.5
65  106.4 111.1 124.4 59.1 122.4 138.4
66  121.2 122.5 117.8 54.8 121.5 143.9
67  115.2 121.2 117.4 54.9 121.9 144.0
68  123.2 124.2 120.0 57.9 119.4 138.4
69  113.1 114.5 118.9 56.9 121.8 135.0
70  110.3 108.9 115.2 55.9 119.0 138.0
71  115.0 114.7 123.5 66.7 120.3 133.6
72  111.9 111.1 122.3 63.8 117.1 131.6
73  117.2 117.5 120.2 60.5 119.5 129.6
74  113.8 112.5 123.2 62.0 113.5 132.4
75  112.8 113.5 114.3 53.8 128.4 143.8
76  113.3 118.4 123.8 51.6 122.7 141.7
77  123.9 120.5 118.3 54.3 122.0 133.8
78  119.8 119.6 126.1 57.5 124.7 130.9
79  110.9 113.9 123.7 62.7 124.8 143.5
80  111.9 125.1 121.8 58.1 112.1 134.8
81  114.0 120.8 131.2 61.0 124.7 152.6
82  113.6 110.4 130.9 60.2 118.5 132.5
83  118.9 126.1 121.9 56.1 127.3 145.6
84  119.4 127.8 128.0 61.8 120.6 141.3
85  121.0 121.1 116.8 56.3 124.2 140.9
86  109.0 105.7 126.2 59.4 121.2 143.2
87  117.9 125.1 122.6 58.2 128.4 151.1
88  124.8 123.8 128.3 60.4 129.1 147.2
89  120.6 124.3 120.0 59.5 123.4 144.1
90  115.6 115.9 117.2 54.0 119.9 135.3
91  116.6 119.1 131.0 58.0 123.3 136.4
92  118.7 118.9 129.6 68.6 123.0 141.4
93  114.3 117.1 127.1 55.7 119.1 139.8
94  110.9 113.1 124.1 60.6 115.7 132.1
95  119.2 120.0 136.9 55.1 129.5 142.0
96  117.1 123.7 108.7 53.2 125.6 136.6
97  109.3 110.2 129.3 58.5 121.0 136.8
98  108.8 119.3 118.7 58.9 118.5 132.7
99  109.0 127.5 124.6 61.1 117.6 131.5
100 101.2 110.6 124.3 62.9 124.3 138.9
101 117.8 109.0 127.1 53.9 117.9 135.8
102 112.4 115.6 135.3 55.8 125.0 136.1
103 105.3 109.8 115.4 59.6 116.6 137.4
104 117.7 122.4 127.1 74.2 125.5 144.5
105 110.9 113.7 126.8 62.7 121.4 142.7
106 115.6 117.5 114.2 55.0 113.2 136.6
107 115.4 118.1 116.6 62.5 125.4 142.1
108 113.6 116.7 130.1 58.5 120.8 140.3
109 116.1 117.6 132.3 59.6 122.0 139.1
110 120.5 115.4 120.2 53.5 118.6 139.4
111 119.0 124.1 124.3 73.6 126.3 141.6
112 122.7 109.0 116.3 55.8 121.8 139.4
113 117.8 108.2 133.9 61.3 120.6 141.3
114 122.3 114.2 137.4 61.7 125.8 143.2
115 114.4 117.8 128.1 54.9 126.5 140.6
116 110.6 111.8 128.4 56.7 121.7 147.5
117 123.3 119.1 117.0 51.7 119.9 137.9
118 118.0 118.0 131.5 61.2 125.0 140.5
119 122.0 114.6 126.2 55.5 121.2 143.4
120 113.4 104.1 128.3 58.7 124.1 142.8
121 117.0 111.3 129.8 55.6 119.5 136.1
122 116.6 108.3 123.7 61.0 123.4 134.0
123 120.1 116.7 122.8 57.4 123.2 145.2
124 119.8 125.0 124.1 61.8 126.9 141.2
125 123.5 123.0 121.6 59.2 115.3 138.4
126 114.9 126.7 131.3 57.3 122.7 139.2
127 120.6 110.8 129.6 58.1 122.7 134.7
128 113.0 114.8 120.7 54.1 119.7 140.9
129 111.8 110.2 121.0 56.4 121.4 132.1
130 110.8 114.9 120.5 58.7 113.4 131.6
