    y1 y2     y3    y4    y5  y6
1   27  6   22.0  84.0   2.8 145
2   26  7   30.0  76.0  17.1 145
3   26  3   35.0  76.7  10.9 105
4   26  7   34.0  78.0   8.0 140
5   31 10   27.0  90.0  15.6 167
6   31  3   22.0  71.5  11.8  98
7   31  6   22.0  73.5   5.1 184
8   25  9   72.0  80.5  12.0 225
9   35  7   51.0  70.0  16.6 146
10  36  2   30.0  66.7  15.3 124
11  36  7   23.0  66.3   4.4 142
12  33  4   67.0  98.0   9.3 225
13  27  9   50.0  69.0  15.1 160
14  27  3   92.0  68.0  16.5 115
15  36 10   55.0  78.2  21.8 188
16  25  6   38.0  82.0  15.8 161
17  33  3   27.0 100.0  10.3 169
18  22  8   34.0  84.0  12.0 175
19  23  2   44.0  81.3  10.5 159
20  25  7   32.0  86.5   6.7 149
21  22 10   35.0  59.4  11.3 130
22  31  5   35.0  90.3  15.3 124
23  33  8   31.0  75.5  13.7 160
24  33 11   25.0  78.9  12.2 127
25  27  6   52.0  77.0  17.9 198
26  30 10   34.0  75.0  15.4 171
27  20 10   53.0  93.2  22.3 349
28  30  2   69.0  66.7   8.7 119
29  30  7   25.0  70.5   5.3 123
30  27  5   24.0  89.5  16.1 176
31  35  8   21.0 108.5   9.8 148
32  26  6   51.0  82.0  12.9 149
33  27  6   37.0  77.3   3.9 141
34  24  7   24.0  82.0  14.2 123
35  25  2   30.0  77.0  16.2 124
36  26  7   34.0  81.3   9.7 158
37  20  9   22.0 102.0  10.3 177
38  22 10   32.0  79.2   5.8 190
39  34 10   24.0  70.4  10.6 181
40  22  7   20.0  72.0  11.9 110
41  22  6   34.0  91.0  14.5 144
42  24  9   25.0  92.0  14.0 166
43  38 12   26.0 109.0   8.9 163
44  39  1   28.0 102.3  17.1 146
45  39  3   21.0  92.4  10.3 197
46  39  3   23.0 111.5  10.0 133
47  39  4   26.0  92.6  12.3 196
48  39  4   25.0  98.7  10.0 174
49  39  6   21.0  93.2   5.9 181
50  32  2   56.0  72.0   9.9 227
51  34 10   48.0  83.0  13.7 228
52  22  6   51.0  91.0  12.7 149
53  39  3   18.0  95.0  11.3  66
54  33  7   28.0 104.0   6.9 169
55  33 11   41.0 105.5  15.1 252
56  20  6   40.0  81.0   6.1 167
57  22  7   21.0  74.5  12.2 163
58  25  2   95.0  69.8   7.3 169
59  25  6   59.0  72.5  10.7 314
60  36  2   40.0  72.7   7.0 131
61  36  8   30.0  79.5  11.9 130
62  22  6   48.0  76.0  16.6 133
63  39  6   39.0  88.5   7.6 168
64  30  3   30.0  82.7  18.1 124
65  37  7   38.0  85.0  21.6 198
66  27  3   27.0  87.2  12.5  99
67  28  7   32.0  76.3   5.6 159
68  29  2   74.0  80.4   8.9 207
69  30  6   33.0  86.0   3.8 149
70  31  7   34.0  80.5  11.1 149
71  31  2   45.0  86.5  10.8 169
72  32  6   52.0  79.0  10.7 187
73  32  7   28.0  82.5  17.4 144
74  32 12   35.0  97.0  14.5 137
75  25  6   37.0  93.0  15.3 167
76  26  2   44.0  81.3  15.3 166
77  26  6   68.0  82.8  11.9 177
78  37 10   97.5  34.0  12.0 203
79  25  7   37.0  98.0  16.4 198
80  25  7   34.0  92.0  12.1 217
81  20  6   30.0  80.0  12.9 129
82  25  6   37.0  98.0  11.7 177
83  34  9   24.0 100.5  14.0 231
84  32  4   41.0  78.5  10.9 191
85  32  6   43.0  87.5   6.0 136
86  32 10   30.0  90.5  15.3 136
87  33  7   30.0  85.0  11.4 176
88  33 10   43.0  88.5  20.3 175
89  22  6   52.0  83.5  10.9 176
90  32  8   20.0  77.0  11.0 200
91  36  7   28.0  86.5  13.2 171
92  22 11   30.0 104.0  22.6 230
93  23  1   40.0  83.0  15.2 205
94  30  5   24.0  78.8   9.6 151
95  27  8   15.0  87.0  13.5 232
96  30 11   22.0  91.0  17.5 198
97  25 10   42.0  65.5  13.3 216
98  26  2  130.0  80.3  17.1 211
99  26  3   48.0  85.2  22.7 160
100 27  7   31.0  86.5   6.9 162
101 26 10   47.0  53.0  14.6 131
102 27  3   36.0  56.0  18.2 105
103 27  7   24.0  57.5   5.6 130
104 31  4   34.0  92.7   7.9 140
105 31  9   38.0  96.0  12.6 158
106 35 10   40.0 104.6  16.1 209
107 28  4   59.0  88.0   9.9 128
108 28  8   75.0  81.0  10.1 177
109 28  9   72.0  66.3  16.4 156
110 27  7   42.0  77.0  15.3 163
111 27  3   30.0  80.2   8.1 100
112 28  6   24.0  87.0   3.5 132
113 24  9   26.0  84.5  20.7 145
114 23  8   65.0  75.0  19.9 187
115 27  3   34.0  86.3  11.8 120
116 25  2   37.0  73.3  13.0 254
117 34  3   73.0  57.4   7.4 107
118 34  7   87.0  76.3   6.0  87
119 25  7   35.0  71.0   8.8 186
120 20  7   31.0  61.5   9.9 172
121 20  5   62.0  81.0  10.2 181
122 31  6   48.0  79.0  16.8 182
123 31  7   40.0  82.5   6.4 151
124 26  7   55.0  85.5  10.9 216
125 26  7   32.0  73.8   8.6 147
126 21 11   26.0  79.3  16.4 123
127 27  6   25.0  91.0  10.3 135
128 30 10  167.0  89.0  25.6 364
129 41 10  104.0  81.0  26.8 245
130 22  8   30.0 108.0   8.8 284
131 22  8   44.0 104.0  17.4 172
132 20 10   65.0  87.0  23.8 198
133 42  9  440.0 107.0  20.2 239
134 59  8   58.0  88.2  11.0 259
135 35  9  129.0  93.1  18.3 188
136 36  6  104.0  87.5  16.7 256
137 35  2  122.0  88.5  21.6 263
138 29  4  265.0  83.5  16.1 136
139 27  4  285.0  79.5  36.4 245
140 27  9   25.0  91.0  49.1 209
141 28  4  124.0  92.0  32.2 298
142 29  8   53.0  76.0  14.0 174
143 30  2   46.0  71.0  16.9 197
144 30  7   40.0  85.5  12.7 201
145 30  8   41.0  90.0   9.7 342
